token_type,token_address,receiver,amount,id
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xde66BcbEb91302bFDe76293fE72cf433Dcf7fEa6,260.869566,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x4d99289c93627D6a18be0dC5b2Bb3866A7681E98,7859.05317,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x10a665d1A7B63C6f0babE0ae3a3CF78799F53288,13043.478261,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x58C4f03a954e4CbB1b8E204a881a8e9A99d015Dd,207.652174,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf3115b8641808c85544c36CaC4024B7de58EF575,5228.030365,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x2B0aa3c688Ca9a29Dac83fc479cCBDf399703f8B,782.437456,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x82E370ca5e763576029Bde3e2E324167aA24C7fA,2657.933617,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xCA3faAc020c1BBbcB8427a17B739c847C38b70f5,2086.906957,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x91f6eC3034018aa28962C51FF55cA6E173b34C89,26.1,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x2A4F47923cf68e2329624575B1f9F4Af4ae9Cf82,5.217392,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39,26.217392,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x70e439584Ef1BA300106b9c16543eaa1DE676Dc2,6521.671478,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x34223719D75CBC336b77cCd8af6B9342bd6Af1cB,84.234783,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x9949648C4e91257bcE17eAd15Bc747aEEB8CED33,665.217392,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x5BBC01345642806cF8dA1B585Afc6EB243692055,5905.666626,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xae1fD3D7321B7A15B0B13a9B00E315a3856Cfdef,130.46087,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xA4943dF169343C8B9f2f190a0378103A6300dCc4,260.556522,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xD2d77E239Ce1eC3ABF2Bf674AA2bA9547Da39D55,48.104348,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x8c5accA20420a550D588c9238559f11BC393bD87,883.865973,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xe05CCAc337E32ab8028903A320e911E34f12405d,5217.391305,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xCea458EF8d2Cb23A47443cCe3eeb1f20492669C5,521.739187,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x2f7bd716D3C360F6D6D7B039369d416aBfCA574c,3990.882104,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xAD30A962A03bC7134CC1545BEA7318C8E472FF97,33121.783484,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x7929Db30dCfA2D2fBFBe60b2C579b218555D88b3,9036.891857,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x82DCfF3c5F3CD89eEe6887cA817A92289A73B7B8,26086.956522,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x7C7B412019186684B51bdd98d4CBc33cCf1EeE7d,2608.695653,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x48E26c4cB9F4A946e44aDDC11B23b2938F17158b,2384.421563,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xFE1eD85bF279A62d7D24fDBe21dE0ECbf90Ed4AA,61.161191,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x5a61bC171CEaA39cB84d00bEE28a5806d0165ec2,25.971913,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x52eC89c04b0709d8a0bE9584c5bb63Bfe96F83A2,2608.695653,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x06A144305e9Ef0A2553BAaadE5617FEE82C794c8,78.21161,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x1c28073c81aaf9D701787c81d755B86ece4964fF,26.086957,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf807f1d0ee1B4AD27C9581F6ad043686F957BBDd,521.739131,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x877B60F4947056b10CC4F98cAa4d445e8B52b138,5217.391305,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xC03D7825d2b3EC9D73D581802Ab49301C4EBB4D5,9232.144094,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x43e1CCFE765f6C2a09bbe63D456BCB1e85835fe5,7518.722954,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x2A8bb2031Df9Df7d94059b806d6372225aF03E4b,4062.494808,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x49342b7BFaDA75Dbb8Fe61253781BA8E72E198e5,6555.337882,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x73614E6CA84645d5F65E3439753E16ccE2f287A3,7826.086957,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xC87821Db31b1228B962e995FB4a4eB3E32871ACD,5158.721675,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xdb0e979228649De327D698B02c47E065c0A0af50,5217.391305,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x3e57efEf507b4db7aCFa2eE79CeCA6B19e18D106,78260.869566,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x49bDdc5f25E798c5778FB5C916E5D15acA5d572C,443.478261,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xE22269064B46D3Fc931246072ff820ad60470976,846.434399,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xF44f48cF2d1233ED58738E192c2502946a0d4618,2505.049362,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x694F24F9A42a9173Bda83A08e1fbB8EDE0bb46A4,391.304348,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf34b1Bf36728dBee1Ab4737134a6133680eaAA08,26087.970009,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xb9fEe87ADA5100e29afaAd51A2C60096010154c2,3913.043479,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x50B943f974A8Dc10433Ec01c76B0aE5f02842347,1443.547826,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x9F3a119F52c274c197a306D1480fc4852129De36,7800.026087,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x6EDb7D704503ED8762183449A1eEb64b10627C49,1304.073913,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x7DD75F3C7016Dd27AEEB29470ae997E8E60F6734,13043.478261,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x8614132666282BA3FF99E825e436306BF1B46CF3,2708.008696,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xDF90937E07c60108B505FE3C542aB782e0A19AE5,2099.739131,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x47EE9a5cf792aE51B4C4e264D2A83A50078e6298,325.577884,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x170B6EE0387762Acb551310e817FEbe5F98157BD,1735.743014,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xa44C2DfAf0fB434D3C630808d8D5661B0D1E0D96,2608.695653,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x668035c440606dA01e788991Bfbba5C0d24133ab,260.911144,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x30A26c2837e9Ad41Ea5955949F00402DbF86f124,376.145173,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x3c37DC9b5D4c60d404EC834987C106510d03442F,5424.711117,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xe8C8eA20A7c47DD979947F1a6229Ff9AC68fEBD3,130.486957,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xD3AE0D498d071bacfD820990b1C7b8a2b8255dF8,32.559131,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x61ca1EAeDc664fd211f6E52097f4e91859787BB5,78.184696,
